y,U_0,U_1,U_2
0.00133491,0.527433,1.5856e-17,8.66325e-36
0.00405446,1.59892,3.45225e-17,8.58408e-35
0.00687533,2.70615,3.27856e-17,1.12748e-34
0.00980129,3.84681,2.98874e-17,1.19059e-34
0.0128363,5.01099,2.87301e-17,1.1681e-34
0.0159843,6.16825,2.8263e-17,1.12814e-34
0.0192496,7.25956,2.81684e-17,1.0917e-34
0.0226366,8.23,2.79401e-17,1.06453e-34
0.0261497,9.06477,2.76709e-17,1.04243e-34
0.0297938,9.77794,2.73741e-17,1.02366e-34
0.0335736,10.3908,2.70634e-17,1.00757e-34
0.0374942,10.923,2.67463e-17,9.93793e-35
0.0415609,11.3907,2.64262e-17,9.81955e-35
0.0457791,11.8068,2.61046e-17,9.71704e-35
0.0501544,12.1811,2.57821e-17,9.62711e-35
0.0546927,12.5215,2.54588e-17,9.54699e-35
0.0594002,12.8339,2.51344e-17,9.47445e-35
0.0642829,13.1231,2.48089e-17,9.40776e-35
0.0693476,13.3929,2.4482e-17,9.34561e-35
0.074601,13.6463,2.41536e-17,9.28704e-35
0.0800501,13.8857,2.38237e-17,9.23134e-35
0.0857023,14.1131,2.34922e-17,9.17796e-35
0.0915649,14.33,2.31592e-17,9.12651e-35
0.0976461,14.538,2.28248e-17,9.07671e-35
0.103954,14.738,2.24891e-17,9.02832e-35
0.110496,14.931,2.21523e-17,8.98116e-35
0.117283,15.1178,2.18145e-17,8.93508e-35
0.124322,15.2992,2.14759e-17,8.88994e-35
0.131623,15.4757,2.11367e-17,8.84563e-35
0.139197,15.6478,2.07971e-17,8.80204e-35
0.147053,15.8159,2.04574e-17,8.75907e-35
0.155201,15.9805,2.01178e-17,8.71661e-35
0.163653,16.1419,1.97783e-17,8.67458e-35
0.17242,16.3004,1.94393e-17,8.63288e-35
0.181513,16.4562,1.91009e-17,8.59142e-35
0.190945,16.6096,1.87632e-17,8.55011e-35
0.200729,16.7608,1.84265e-17,8.50887e-35
0.210877,16.91,1.80907e-17,8.46763e-35
0.221403,17.0573,1.77561e-17,8.42631e-35
0.232321,17.2028,1.74228e-17,8.38483e-35
0.243646,17.3468,1.70907e-17,8.34312e-35
0.255393,17.4893,1.67601e-17,8.30111e-35
0.267578,17.6304,1.64309e-17,8.25874e-35
0.280216,17.7702,1.61033e-17,8.21594e-35
0.293325,17.9088,1.57774e-17,8.17264e-35
0.307778,18.0548,1.54322e-17,8.12604e-35
0.323333,18.2042,1.50781e-17,8.07712e-35
0.338889,18.3466,1.4739e-17,8.02931e-35
0.354444,18.4825,1.44141e-17,7.98246e-35
0.37,18.6125,1.41021e-17,7.93648e-35
0.385556,18.7369,1.38022e-17,7.89126e-35
0.401111,18.8563,1.35133e-17,7.84672e-35
0.416667,18.9708,1.32346e-17,7.80278e-35
0.432222,19.0807,1.29654e-17,7.75939e-35
0.447778,19.1864,1.27049e-17,7.71648e-35
0.463333,19.2879,1.24525e-17,7.674e-35
0.478889,19.3856,1.22079e-17,7.63191e-35
0.494444,19.4796,1.19703e-17,7.59016e-35
0.51,19.57,1.17396e-17,7.54871e-35
0.525556,19.6569,1.15151e-17,7.50754e-35
0.541111,19.7405,1.12966e-17,7.46661e-35
0.556667,19.8209,1.10838e-17,7.4259e-35
0.572222,19.8981,1.08764e-17,7.38538e-35
0.587778,19.9721,1.0674e-17,7.34504e-35
0.603333,20.0432,1.04765e-17,7.30485e-35
0.618889,20.1112,1.02837e-17,7.2648e-35
0.634444,20.1763,1.00953e-17,7.22488e-35
0.65,20.2385,9.91115e-18,7.18509e-35
0.665556,20.2978,9.73118e-18,7.14542e-35
0.681111,20.3542,9.5552e-18,7.10586e-35
0.696667,20.4077,9.38309e-18,7.06641e-35
0.712222,20.4585,9.21476e-18,7.02708e-35
0.727778,20.5064,9.0501e-18,6.98787e-35
0.743333,20.5514,8.88902e-18,6.94878e-35
0.758889,20.5937,8.73145e-18,6.90983e-35
0.774444,20.6332,8.57732e-18,6.87101e-35
0.79,20.6699,8.42654e-18,6.83234e-35
0.805556,20.7038,8.27906e-18,6.79382e-35
0.821111,20.735,8.13478e-18,6.75545e-35
0.836667,20.7635,7.99364e-18,6.71725e-35
0.852222,20.7893,7.85556e-18,6.67921e-35
0.867778,20.8123,7.72044e-18,6.64132e-35
0.883333,20.8328,7.58818e-18,6.6036e-35
0.898889,20.8506,7.45868e-18,6.56601e-35
0.914444,20.8657,7.33182e-18,6.52857e-35
0.93,20.8784,7.20749e-18,6.49124e-35
0.945556,20.8884,7.08555e-18,6.45401e-35
0.961111,20.896,6.96589e-18,6.41687e-35
0.976667,20.901,6.84837e-18,6.37977e-35
0.992222,20.9035,6.73285e-18,6.34271e-35
1.00778,20.9035,6.61922e-18,6.30565e-35
1.02333,20.901,6.50736e-18,6.26856e-35
1.03889,20.896,6.39714e-18,6.23141e-35
1.05444,20.8884,6.28846e-18,6.19419e-35
1.07,20.8784,6.18124e-18,6.15686e-35
1.08556,20.8658,6.07538e-18,6.1194e-35
1.10111,20.8506,5.97083e-18,6.0818e-35
1.11667,20.8328,5.86753e-18,6.04404e-35
1.13222,20.8124,5.76544e-18,6.00611e-35
1.14778,20.7893,5.66453e-18,5.968e-35
1.16333,20.7635,5.56479e-18,5.9297e-35
1.17889,20.735,5.4662e-18,5.89122e-35
1.19444,20.7039,5.36877e-18,5.85255e-35
1.21,20.6699,5.27251e-18,5.81371e-35
1.22556,20.6332,5.17743e-18,5.77469e-35
1.24111,20.5937,5.08355e-18,5.7355e-35
1.25667,20.5515,4.99088e-18,5.69615e-35
1.27222,20.5064,4.89944e-18,5.65665e-35
1.28778,20.4585,4.80924e-18,5.61701e-35
1.30333,20.4078,4.72031e-18,5.57722e-35
1.31889,20.3542,4.63264e-18,5.5373e-35
1.33444,20.2978,4.54624e-18,5.49725e-35
1.35,20.2385,4.46112e-18,5.45706e-35
1.36556,20.1764,4.37726e-18,5.41674e-35
1.38111,20.1113,4.29466e-18,5.37627e-35
1.39667,20.0432,4.21331e-18,5.33565e-35
1.41222,19.9722,4.13318e-18,5.29487e-35
1.42778,19.8981,4.05426e-18,5.25391e-35
1.44333,19.821,3.97651e-18,5.21275e-35
1.45889,19.7406,3.89991e-18,5.17137e-35
1.47444,19.657,3.82442e-18,5.12974e-35
1.49,19.5701,3.75e-18,5.08784e-35
1.50556,19.4797,3.67661e-18,5.04563e-35
1.52111,19.3858,3.60421e-18,5.00307e-35
1.53667,19.2881,3.53275e-18,4.96012e-35
1.55222,19.1866,3.46219e-18,4.91673e-35
1.56778,19.0809,3.39247e-18,4.87284e-35
1.58333,18.971,3.32354e-18,4.8284e-35
1.59889,18.8565,3.25535e-18,4.78334e-35
1.61444,18.7372,3.18786e-18,4.73757e-35
1.63,18.6128,3.12102e-18,4.69101e-35
1.64556,18.4828,3.0548e-18,4.64357e-35
1.66111,18.3469,2.98916e-18,4.59513e-35
1.67667,18.2046,2.92405e-18,4.54557e-35
1.69222,18.0552,2.8594e-18,4.49473e-35
1.70667,17.9092,2.79976e-18,4.44615e-35
1.71978,17.7707,2.74572e-18,4.40091e-35
1.73242,17.6309,2.69362e-18,4.35606e-35
1.74461,17.4898,2.64329e-18,4.31155e-35
1.75635,17.3473,2.59458e-18,4.26731e-35
1.76768,17.2033,2.54736e-18,4.22329e-35
1.7786,17.0577,2.50151e-18,4.17941e-35
1.78912,16.9104,2.45692e-18,4.13562e-35
1.79927,16.7613,2.41349e-18,4.09184e-35
1.80905,16.6101,2.3711e-18,4.04802e-35
1.81849,16.4567,2.32965e-18,4.00407e-35
1.82758,16.3008,2.28905e-18,3.95994e-35
1.83635,16.1424,2.2492e-18,3.91553e-35
1.8448,15.981,2.20999e-18,3.87077e-35
1.85295,15.8164,2.17132e-18,3.82556e-35
1.8608,15.6482,2.13309e-18,3.7798e-35
1.86838,15.4761,2.09518e-18,3.73338e-35
1.87568,15.2996,2.05749e-18,3.68619e-35
1.88272,15.1183,2.0199e-18,3.63808e-35
1.8895,14.9314,1.98226e-18,3.5889e-35
1.89605,14.7384,1.94445e-18,3.53848e-35
1.90235,14.5384,1.90631e-18,3.4866e-35
1.90844,14.3304,1.86765e-18,3.43304e-35
1.9143,14.1135,1.8283e-18,3.37751e-35
1.91995,13.8861,1.78803e-18,3.31968e-35
1.9254,13.6467,1.74659e-18,3.25916e-35
1.93065,13.3933,1.70368e-18,3.19547e-35
1.93572,13.1235,1.65896e-18,3.12803e-35
1.9406,12.8343,1.61202e-18,3.05611e-35
1.94531,12.5218,1.56237e-18,2.97881e-35
1.94985,12.1814,1.5094e-18,2.89502e-35
1.95422,11.8071,1.45236e-18,2.80328e-35
1.95844,11.391,1.39031e-18,2.70178e-35
1.96251,10.9232,1.32205e-18,2.58815e-35
1.96643,10.391,1.24609e-18,2.45941e-35
1.97021,9.77807,1.16052e-18,2.31175e-35
1.97385,9.06484,1.06306e-18,2.14056e-35
1.97736,8.22999,9.51332e-19,1.94092e-35
1.98075,7.25946,8.24042e-19,1.70965e-35
1.98402,6.16809,6.83947e-19,1.45046e-35
1.98716,5.01082,5.39381e-19,1.17651e-35
1.9902,3.84667,3.99481e-19,9.01797e-36
1.99312,2.70605,2.69409e-19,6.33445e-36
1.99595,1.59886,1.50302e-19,3.73708e-36
1.99867,0.527412,4.0173e-20,1.23053e-36
